playtime_forever,is_free,price,genres,categories,tags,purchase_date,release_date,total_positive_reviews,total_negative_reviews,pur_rel_itv,Action,Adventure,Animation,AudioProduction,Casual,Design,EarlyAccess,FreetoPlay,Gore,Illustration,Indie,MassivelyMultiplayer,Modeling,Nudity,RPG,Racing,SexualContent,Simulation,Sports,Strategy,Utilities,Violent
0.0,False,2500,"Adventure,Indie,RPG,Strategy","Single-player,Steam Cloud","RPG,Post-apocalyptic,Classic,Turn-Based,Adventure,Strategy,Retro,Sci-fi,Indie,2D,Singleplayer,Old School,CRPG,Masterpiece,Pixel Graphics,Action,Open World,1980s,Great Soundtrack",2017-06-23,2013-11-13,148.0,35.0,1318,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0.0,True,0,Action,"Single-player,Multi-player,Online Multi-Player,Steam Achievements,Partial Controller Support","Action,VR,Multiplayer",2019-07-20,2018-12-11,110.0,260.0,221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.56666667,False,3300,"Action,Adventure,Indie,RPG","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Multiplayer,Adventure,Rogue-like,Co-op,RPG,Local Co-Op,Indie,Dungeon Crawler,2D,Beat 'em up,Rogue-lite,Replay Value,Hack and Slash,Difficult,Side Scroller,Loot,Action RPG,Pixel Graphics,Singleplayer",2016-10-09,2016-08-31,9659.0,1058.0,39,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.6333333329999999,False,5700,"Action,Casual,Indie,Simulation","Single-player,Local Multi-Player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Local Co-Op,Local Multiplayer,Co-op,Multiplayer,Family Friendly,4 Player Local,Casual,Funny,Co-op Campaign,Indie,Simulation,Action,Singleplayer,Cute,Colorful,Difficult,Great Soundtrack,Split Screen,Adventure,Memes",2018-06-13,2016-08-03,5871.0,551.0,679,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.016666667,True,0,"Adventure,Simulation,Strategy","Single-player,Multi-player,Co-op,Valve Anti-Cheat enabled,Stats,Steam Leaderboards","Space,Simulation,Free to Play,Multiplayer,Online Co-Op,Funny,Strategy,Adventure,Open World,Memes,Walking Simulator,Co-op,Sandbox,Realistic,Comedy,Third Person,Massively Multiplayer,Singleplayer,First-Person,Puzzle",2017-09-16,2010-07-06,167.0,30.0,2629,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3.3,False,6800,"Action,Adventure,Indie,RPG","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","RPG,Action RPG,Hack and Slash,Co-op,Dungeon Crawler,Loot,Fantasy,Online Co-Op,Multiplayer,Action,Adventure,Singleplayer,Indie,Moddable,Character Customization,Isometric,Replay Value,Steampunk,Atmospheric,Cartoon",2018-01-13,2012-09-20,21566.0,1289.0,1941,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.0,False,11200,"Indie,Simulation","Single-player,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","Space,Simulation,Sandbox,Physics,Science,Space Sim,Building,Moddable,Indie,Education,Open World,Singleplayer,Exploration,Funny,Sci-fi,Adventure,Difficult,Replay Value,Strategy,Comedy",2019-05-30,2015-04-27,43103.0,4042.0,1494,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0,False,11200,"Simulation,Strategy","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","Space,Strategy,Grand Strategy,Sci-fi,4X,Real-Time with Pause,Exploration,Multiplayer,RTS,Singleplayer,Replay Value,Great Soundtrack,Simulation,Moddable,Sandbox,Atmospheric,Open World,Story Rich,Building,Adventure",2018-02-18,2016-05-09,30934.0,7777.0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.0,False,3600,"Indie,Simulation,Strategy","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Strategy,Indie,Simulation,Space,Sci-fi,Moddable,Great Soundtrack",2018-12-21,2015-04-16,74.0,115.0,1345,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0.166666667,False,6800,Racing,"Single-player,Multi-player,Steam Achievements,Partial Controller Support,Steam Cloud","Racing,Offroad,Motocross,Multiplayer,Sports,Singleplayer,Open World,Motorbike,ATV,Action,Simulation,Bikes,Moddable,Arcade",2018-01-30,2010-11-26,1122.0,248.0,2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.6166666669999998,False,8800,"RPG,Strategy","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","Strategy,4X,Turn-Based,Turn-Based Strategy,Fantasy,Hex Grid,Multiplayer,Singleplayer,Great Soundtrack,RPG,Sci-fi,Indie,Tactical,Adventure,Grand Strategy,Medieval,Atmospheric,Open World,Exploration,Sandbox",2016-11-28,2014-09-18,8406.0,1780.0,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.0,False,8800,"Action,Adventure,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Atmospheric,Psychological,Story Rich,Female Protagonist,Mythology,Singleplayer,Dark,Adventure,Third Person,Horror,Dark Fantasy,Action,Violent,Indie,Hack and Slash,Walking Simulator,Fantasy,Action-Adventure,Realistic,Blood",2018-05-16,2017-08-07,20437.0,1847.0,282,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.05,True,0,"Casual,Indie","Single-player,Full controller support","Casual,Indie,VR,Free to Play",2017-11-19,2016-06-03,2.0,0.0,534,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,False,12900,Strategy,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","Strategy,Space,Sci-fi,4X,Multiplayer,Turn-Based Strategy,Turn-Based,Grand Strategy,Great Soundtrack,Singleplayer,Action,Open World,War,Atmospheric,Moddable,Co-op,Sandbox,RTS,RPG,Indie",2019-04-02,2017-05-18,6812.0,1458.0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,False,9900,RPG,Single-player,"RPG,Sci-fi,Story Rich,Third-Person Shooter,Action,Space,Singleplayer,Great Soundtrack,Adventure,Choices Matter,Cinematic,Masterpiece,Third Person,Shooter,Romance,Character Customization,Female Protagonist,Atmospheric,Action RPG,Real-Time with Pause",2018-05-09,2010-01-28,9566.0,517.0,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.21666666699999998,False,1500,"Adventure,Indie,RPG,Simulation","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Choices Matter,Medieval,Card Game,Indie,Choose Your Own Adventure,Singleplayer,RPG,Adventure,Simulation,Strategy,Casual,Comedy,Dark Humor,Fantasy,Story Rich,Funny,2D,Great Soundtrack,Difficult,Touch-Friendly",2017-12-09,2016-08-11,5001.0,597.0,485,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0.0,False,4800,Adventure,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Commentary available","Adventure,Point & Click,Classic,Comedy,Story Rich,Noir,Cult Classic,Great Soundtrack,Singleplayer,Remake,Puzzle,Atmospheric,Retro,Funny,Masterpiece,Dark Humor,1990's,Third Person,Indie,Difficult",2019-06-27,2015-01-26,3457.0,372.0,1613,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,False,4800,"Indie,Simulation,Strategy","Single-player,Multi-player,Steam Trading Cards","Strategy,Simulation,Indie,Sci-fi,Space,2D,Sandbox,Building,Singleplayer,Moddable,Multiplayer",2018-12-21,2009-11-16,329.0,73.0,3322,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
4.216666667,False,6800,"Action,Indie","Single-player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV","Difficult,Cartoon,Great Soundtrack,Platformer,Co-op,Hand-drawn,2D,Local Co-Op,Retro,Indie,Cartoony,Action,Bullet Hell,Multiplayer,Shoot 'Em Up,Side Scroller,Colorful,Singleplayer,Funny,Atmospheric",2017-10-02,2017-09-29,36322.0,1542.0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.266666667,False,6800,"Adventure,RPG,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud","RPG,Story Rich,Classic,Party-Based RPG,Dark Fantasy,Isometric,CRPG,Adventure,Choices Matter,Fantasy,Atmospheric,Singleplayer,Great Soundtrack,Strategy,Masterpiece,Dungeons & Dragons,Tactical RPG,Philisophical,Cult Classic,Real-Time with Pause",2017-12-10,2017-04-11,1270.0,73.0,243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2.1,False,7000,"Casual,Simulation,Sports","Single-player,Online Multi-Player","Sports,Tennis,Simulation,Casual,VR",2018-02-28,2016-09-22,1107.0,64.0,524,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0.0,False,4000,"Indie,Simulation,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Simulation,Choices Matter,Multiple Endings,Strategy,Pixel Graphics,Nudity,2D,Singleplayer,Funny,Sexual Content,Story Rich,Dystopian,Horror,Puzzle,Mature,Dark Humor,Atmospheric,Resource Management",2018-10-23,2018-10-23,1663.0,153.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2.85,False,9500,"Action,Adventure","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards","Story Rich,Third-Person Shooter,Action,Atmospheric,Psychological,Singleplayer,Third Person,War,Shooter,Dark,Multiplayer,Adventure,Emotional,Political,Military,Mature,Great Soundtrack,Masterpiece,Based On A Novel,Post-apocalyptic",2017-03-17,2012-06-28,17071.0,1218.0,1723,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,False,10000,Simulation,"Single-player,Steam Achievements,Steam Workshop","Simulation,Management,Economy,Trains,Strategy,Building,Singleplayer,Sandbox,City Builder,Open World,Moddable,Realistic,Resource Management,Transportation,Driving,Indie,Flight,Relaxing,Adventure,Multiplayer",2019-06-27,2016-11-08,4328.0,1223.0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.516666667,False,4800,"Action,Adventure,Indie,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Horror,Survival,Survival Horror,Atmospheric,Top-Down,Dark,Indie,RPG,Open World,Adventure,Lovecraftian,Exploration,Singleplayer,Action,Crafting,Rogue-like,Inventory Management,Building,Gore,Psychological Horror",2017-11-28,2017-08-17,4109.0,253.0,103,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3.083333333,False,4800,"Action,Adventure,Casual,Indie","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Comedy,Co-op,Funny,Platformer,Multiplayer,Local Co-Op,Adventure,Indie,2D,Action,Great Soundtrack,Cats,Online Co-Op,Puzzle,Casual,Level Editor,Local Multiplayer,Masterpiece,Singleplayer,Difficult",2016-11-22,2014-05-15,36408.0,1063.0,922,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,False,6800,Adventure,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Anime,Detective,Visual Novel,Mystery,Story Rich,Great Soundtrack,Singleplayer,Psychological Horror,Adventure,Dark Comedy,Horror,Atmospheric,Puzzle,Memes,Dark,Comedy,Dating Sim,Funny,Mature,Walking Simulator",2018-11-22,2016-04-18,5163.0,182.0,948,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7,False,7000,"Action,Adventure,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Puzzle,Exploration,First-Person,Metroidvania,Puzzle-Platformer,Indie,Action,Singleplayer,Open World,Cute,Sandbox,Colorful,FPS,3D Platformer,Funny,Multiplayer,Co-op",2019-06-27,2019-04-05,2268.0,82.0,83,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11.51666667,False,9000,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Medieval,RPG,Open World,Realistic,Singleplayer,Historical,First-Person,Story Rich,Adventure,Swordplay,Choose Your Own Adventure,Choices Matter,Action,Atmospheric,Nudity,Horses,Great Soundtrack,Kickstarter,Indie,Crowdfunded",2018-03-29,2018-02-13,24505.0,7766.0,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.5,False,4900,"Sexual Content,Violent,Adventure,Indie,Strategy","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Strategy,Management,Story Rich,Crime,Choices Matter,Singleplayer,Indie,Simulation,Noir,Atmospheric,Adventure,Detective,Mature,Great Soundtrack,Political,Sexual Content,Violent,Visual Novel,Kickstarter,Nudity",2016-11-28,2016-08-02,4760.0,925.0,118,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0.8833333329999999,False,5000,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Horror,Third Person,Adventure,Story Rich,Thriller,Atmospheric,Singleplayer,Psychological Horror,Great Soundtrack,Mystery,Episodic,Dark,Third-Person Shooter,Supernatural,Masterpiece,Cinematic,Narration,Survival Horror,Shooter",2018-10-28,2012-02-16,16607.0,1662.0,2446,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46666666700000003,False,3500,"Adventure,Indie","Single-player,Steam Achievements","Adventure,Indie,World War II,Historical,Story Rich,Education,Atmospheric,Realistic,Dark,Drama,Multiple Endings,Hidden Object",2018-03-21,2017-10-31,74.0,6.0,141,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,False,24800,"Action,Adventure","Single-player,Co-op,In-App Purchases,Partial Controller Support","Illuminati,Hacking,Open World,Action,Parkour,Stealth,Multiplayer,Third Person,Shooter,Crime,Singleplayer,Third-Person Shooter,Adventure,Co-op,Sexual Content,Comedy,Mature,Atmospheric,Cute,Gore",2019-03-24,2016-11-28,22742.0,5941.0,846,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,False,11000,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Detective,Adventure,Horror,Mystery,Supernatural,Atmospheric,Action,Singleplayer,Crime,Story Rich,Third Person,Noir,Masterpiece,Puzzle,Open World,RPG,Stealth,Walking Simulator,Dark,Point & Click",2017-10-28,2014-06-03,5396.0,954.0,1243,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,False,3400,"Action,Adventure",Single-player,"Adventure,Action,Female Protagonist,Third Person,Lara Croft,Puzzle,Singleplayer,Platformer,Action-Adventure,Shooter,Exploration,Third-Person Shooter,Parkour,Atmospheric,Underwater,3D Vision,Masterpiece,Classic,3D Platformer,Open World",2018-02-16,2008-11-21,1685.0,566.0,3374,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,True,0,"Casual,Free to Play,Massively Multiplayer,Simulation","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,VR Support,Partial Controller Support","Free to Play,VR,Casual,Simulation,Massively Multiplayer,Multiplayer,Choose Your Own Adventure,Online Co-Op,Experimental,Comedy,Card Game,Sports,Board Game",2017-11-16,2016-03-31,14.0,4.0,595,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.316666667,False,2100,"Action,Early Access","Single-player,Partial Controller Support","Early Access,FPS,Shooter,Singleplayer,eSports,Early Access,Action,Fast-Paced,Score Attack,Competitive,Difficult,Simulation,First-Person,Casual,Multiplayer",2017-09-21,2016-09-05,2848.0,498.0,381,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,False,11200,"Adventure,Indie,RPG,Strategy","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Includes level editor","RPG,Turn-Based,Co-op,Fantasy,Adventure,Masterpiece,Strategy,Open World,Isometric,CRPG,Story Rich,Kickstarter,Indie,Multiplayer,Singleplayer,Turn-Based Strategy,Magic,Online Co-Op,Crowdfunded,Atmospheric",2017-06-28,2014-06-30,7052.0,718.0,1094,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0.0,False,6800,"Action,Indie","Single-player,Multi-player,Online Multi-Player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Steam Cloud,Valve Anti-Cheat enabled,Stats,Steam Leaderboards,Includes level editor","Action,Multiplayer,Underwater,Gore,Team-Based,Horror,Survival,PvP,Co-op,FPS,Shooter,Hunting,Survival Horror,First-Person,Atmospheric,Exploration,Simulation,Adventure,Indie,Singleplayer",2018-04-16,2014-11-03,16482.0,2102.0,1260,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.983333333,False,6000,"Adventure,Casual,Indie","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Puzzle,Indie,Hand-drawn,Adventure,Casual,Atmospheric,Singleplayer,Stylized,Short,2D,Story Rich,Mystery,Exploration,Interactive Fiction,Cartoony,Great Soundtrack,Point & Click",2017-12-14,2017-12-14,4850.0,139.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14.55,False,16000,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Adventure,Action,Lara Croft,Female Protagonist,Third Person,Singleplayer,Exploration,Action-Adventure,Open World,Survival,Story Rich,Puzzle,Atmospheric,Stealth,Third-Person Shooter,Parkour,Shooter,RPG,Great Soundtrack,Quick-Time Events",2017-09-29,2016-02-09,39351.0,3113.0,598,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,False,10000,"Action,RPG,Simulation","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","Space,Simulation,RPG,Open World,Sci-fi,Space Sim,Singleplayer,Action,Sandbox,Adventure,Moddable,Strategy,Early Access,Survival,Difficult,Relaxing,Indie,4X,Exploration,Co-op",2017-10-05,2014-09-26,1949.0,834.0,1105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3.933333333,False,6900,"Adventure,RPG",Single-player,"Adventure,Female Protagonist,Story Rich,Fantasy,Sci-fi,Singleplayer,Third Person,RPG,Beautiful,Futuristic,Great Soundtrack,Atmospheric,Masterpiece,Nudity,Cyberpunk",2017-10-28,2007-01-12,543.0,92.0,3942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,False,4800,"Action,Adventure,RPG,Simulation,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards","Space,Masterpiece,RPG,Strategy,Adventure,Classic,Open World,Sci-fi,Simulation,Turn-Based,Atmospheric,Action,Comedy,Sandbox,Replay Value,Singleplayer,RTS,Arcade,2D,Procedural Generation",2018-04-08,2013-10-17,2805.0,169.0,1634,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3.2833333330000003,False,19200,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","RPG,Open World,Character Customization,Fantasy,Action,Adventure,Singleplayer,Action RPG,Dragons,Dark Fantasy,Third Person,Magic,Exploration,Great Soundtrack,Atmospheric,Story Rich,Difficult,JRPG,Multiplayer,Hack and Slash",2018-11-22,2016-01-15,10311.0,1386.0,1042,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,False,9900,Strategy,Single-player,"Strategy,RTS,Base Building,Multiplayer,Co-op,Alternate History,Sci-fi,Real-Time,Co-op Campaign,Singleplayer,War,Online Co-Op,Action,Comedy,Classic,Great Soundtrack,Masterpiece,FMV,Atmospheric,Nudity",2019-02-10,2009-01-08,4204.0,820.0,3685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36666666700000006,True,0,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,Sports,Early Access","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Cross-Platform Multiplayer,Full controller support,SteamVR Collectibles,Includes level editor","Early Access,VR,Free to Play,Multiplayer,Sports,Early Access,Online Co-Op,Massively Multiplayer,Co-op,Funny,Casual,Action,Adventure,First-Person,Simulation,FPS,Shooter,Family Friendly,Sexual Content,Singleplayer",2017-11-19,2016-06-28,116.0,1.0,509,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.8666666670000001,False,1100,"Action,Indie,RPG,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Action,Strategy,RPG,Card Game,Lovecraftian,Trading Card Game,Short,Real-Time,Rogue-lite,Rogue-like",2018-03-13,2016-10-11,53.0,33.0,518,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0.0,False,11200,Action,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Horror,Survival Horror,Sci-fi,Atmospheric,Aliens,Stealth,First-Person,Space,Survival,Female Protagonist,Singleplayer,Action,Difficult,Adventure,Great Soundtrack,FPS,Psychological Horror,Masterpiece,Gore,Shooter",2017-12-21,2014-10-06,16682.0,1430.0,1172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
